user_id,question_id,question,theme,create_date,zipcode
u-pPHxTPoC2w-nbqys5WKIS,q-AzcXdy9Hje-AhbEWKNPPU,Do we need as many lanes when cars can drive their tires within sub inch tolerances?,Reliability,2/6/15 11:41,02125
u-HSSpgvY9zm-KwH1iEOLab,q-8kHprwL5C1-dCloklnzjF,"Clean!  Modern, accessible, warm, friendly, colorful with beautiful trees, flowers, no hike in fees every year!  Safe! Bright!",Affordability,2/11/15 20:25,02125
u-v4RqDt1qQL-h1qgPVtrsq,q-OaMn91vjFx-fdJXkmn62s,"What are the city's goals to improve biking in Dorchester? Only time I've felt unsafe biking in the city has been in Dorchester...and we have the most greenspace, too!",Access,1/14/15 16:34,02125
u-rSbyFKyeTv-3J38TopuPT,q-gQffRa3IJF-hUSyF50GaV,What will the city do to support the mobility for senior citizens?,Access,1/7/15 10:50,02125
u-7dGmHOM8AQ-sAKAPnLng1,q-LsbYHtTkdP-FHTVAebJmm,Why don't we have more places for kids to go in the summer that they access easily without needing to be driven by parents? Affordable T pass.,Affordability,3/9/15 12:06,02125
u-zWUS89EHNh-JlTRf8ZMk2,q-K3rbMjCyaY-7qhiHZP3x1,Will the MBTA hire people of color?,Equity,1/7/15 10:50,02125
u-0sDnfKW97b-coWMAFyW9Q,q-RE6mNCYtct-ajDSGBshzr,To have a plan and make it change the whole city of Boston.,Governance and Decision-Making,3/9/15 12:18,02125
u-JaA8jBBTgX-o3TE7P8Jx6,q-YDuTi8zBLF-Bs8TncepoL,Where are the hover skates? Where are the hover cars? Where are the exo-suits?,Innovation-Technology,4/15/15 10:05,02125
u-wHZ9OkYWOz-5o5w4Nm15T,q-WMcvyIBiFc-DLmO642Jnn,What if there were more frequent weekend service and the trains ran more than every 20 minutes on Saturdays and Sundays?,Reliability,2/20/15 13:57,02125
u-n0OFJwyv5V-yYU5uDi4QU,q-yrCtD1GLks-s3YRE5lPyl,Will there be more visible bike lanes?,Access,1/7/15 10:50,02125
u-DenVeQn6sX-jMdZnBBuOQ,q-O1Dt7utqWI-GgXDTb2TQB,Will there be more efficient and affordable public transportation?,Affordability,1/7/15 10:50,02125
