user_id,question_id,question,theme,create_date,zipcode
u-zCjJWOab12-Ary6FCXqDM,q-auPqeu4TLX-LS4bTGS5Vk,How will construction in Boston affect transportation and traffic in Boston?,Resiliency,2/20/15 16:58,02128
u-9nXbDTkYVo-ESLLA9zSgn,q-VPyuZrDPxc-4KQsdYghHf,When are they going to remove the mountains of snow on every East Boston side street?,Experiential Quality,3/9/15 12:17,02128
u-xGg3COyL3G-bdebx7gxf9,q-YCVpyfkmIV-1ejOWy2J8n,"How can City Hall help the community of East Boston become more accessible to the rest of the Greater Boston Area, while it is still above sea level?",Access,2/20/15 23:34,02128
u-xGg3COyL3G-bdebx7gxf9,q-2IwJNpqI6d-a74qESpK4w,Is it possible to use our Charlie Card on the Commuter Rail in the future?,Access,2/20/15 22:59,02128
u-ApKKmo1l29-g2ZQEUKfCd,q-qKkVYSHab0-hHvkZ0VZXx,How can we increase funding for public transportation?,Governance and Decision-Making,1/28/15 11:21,02128
u-oYpsWozjVc-lJzMnid7ei,q-7Nmj3eR9Mx-Zx9YacvpUh,How come the bus schedules aren't accurate?,Reliability,1/30/15 12:06,02128
u-lpYRr9NXYQ-F3hMON7v9u,q-5tGJofax6B-hlzDKnEaWU,How can we enhance the MBTA?,Reliability,3/9/15 12:16,02128
u-xGg3COyL3G-bdebx7gxf9,q-30NJPcumvQ-MD44LG5PvK,What is being done about the potholes in Boston?,Experiential Quality,2/20/15 23:04,02128
u-DozlCZzBKM-bdXGkQwhde,q-2ExQDUmNrY-sddJs8iAHG,Will people be able to get to where they want on time?,Access,1/30/15 12:06,02128
u-iQ0fAQEMlc-DYaJMijJ7D,q-pPN5EAYjnw-9TpENFI9Cu,"What if our transportation systems and roadways celebrated art and creativity, not just advertising and sales?",Governance and Decision-Making,1/21/15 15:45,02128
u-Pfr1eLzJJL-s1BesPIZ0A,q-yEfGCRy97k-0nWpTdcFk5,"Sometimes a bus will come for ten minutes, then not again for many many minutes. ",Reliability,3/9/15 12:56,02128
u-xGg3COyL3G-bdebx7gxf9,q-jx3fm6CpdT-XxEDLxE0u1,Will Boston expand bike lanes and introduce separated bike areas? Can Boston introduce bicycle signals on roads with bike lanes?,Access,2/20/15 22:47,02128
u-xGg3COyL3G-bdebx7gxf9,q-W4ZvyDt8kk-gm7YtliwdC,Is Boston going to change or is it going to stay the same?,Experiential Quality,2/20/15 22:26,02128
u-Rg0SfEAVPm-SvKZZQTVmS,q-YrPpFXRYuO-MXgYO1VKYq,When will East Boston have ferry service?,Access,1/28/15 11:18,02128
u-xGg3COyL3G-bdebx7gxf9,q-Eqb4LVpVoh-yX87Zdcacy,When are we upgrading the train system?,Experiential Quality,2/20/15 22:51,02128
u-9zkH95rlQk-OezYE8zzu1,q-g3ZrAgCv4r-cFD4WXP3q9,Will it come at the time it says it will?,Reliability,3/9/15 12:17,02128
u-8sdbtkUfSE-jRmDwrdVvh,q-psXctsHHC6-0CXkxClXSY,Start tracking the Green Line with an app. ,Innovation-Technology,4/17/15 17:02,02128
u-xGg3COyL3G-bdebx7gxf9,q-Gi5mr2iQV7-XHsr7Xt71x,"Could you build new bus stops and stations, with seats, air conditioning, cameras, etc.?  ",Experiential Quality,2/20/15 23:32,02128
u-p81eFDTEvi-7Hln1hkH8Q,q-ge0tpgWW0S-DKnTmp7vx1,"I would love to know how we are going to creatively think of a solution to provide walking and bike access from East Boston to Downtown. There is a huge need, so whether we have a pivot bridge or raised bridge, we need something so that those living on either side and easily walk, run or bike over Boston Harbor without a second thought or without concern for safety, especially since it isn't that far distance wise.",Access,2/3/15 15:10,02128
u-Y96cjWhw3H-jjUklgMN5b,q-HYoyv6ZauW-2LxZq87yXE,Will there be flying cars? :),Innovation-Technology,4/15/15 11:15,02128
u-fSuDMsaIvT-dPwbGNaVRn,q-1Am4C76W5u-jlgOUmLDuJ,Will there be more trainings for T employees about how to be respectful towards customers?,Safety,2/20/15 16:56,02128
u-eO2Sqz1her-eRHUdniTzs,q-OuC8zF3BGp-1oQgdj7f3P,Can the buses move faster? ,Reliability,4/17/15 17:02,02128
u-3pJ4pRW35p-rEq1El4wBp,q-aLL2atJCnu-3UQCSjqKbv,When will bicyclists be given equal status with cars and pedestrians?  You can go anywhere in a car - but there is no equivalent network for bicyclists.  ,Access,4/17/15 18:44,02128
