colle,question_id,question,theme,create_date,zipcode
u-wXy8la38DC-FoLScfgnSN,q-l0fhck3b4o-NTPA0QKYGx,Will the transportation be faster?,Reliability,4/15/15 11:15,02215
u-X8I7Qqf1dI-1S6I24TtGd,q-f165YRHHTC-351PfZUBDh,Is it possible and realistic to build a pedestrian bridge at the Longwood/Brookline Ave. intersection?,Access,2/20/15 14:14,02215
u-UKmUYfBXLq-SdvgYBGnXC,q-RIJ2YBqa5E-fPBZfEQcyo,How are we going to address Silver Line overcrowding with all the new development set to occur in Seaport?,Reliability,1/20/15 9:43,02215
u-yPihuygsdN-DOd92B3tv2,q-5td9USP96t-PZ7XYzxky2,Can we implement some sort of connection between the green lines and red lines? For Cambridge and Brookline being so close it takes a lot of time and effort to go into the city center only to go out again. ,Access,1/26/15 13:17,02215
u-hvhKU7mNio-hH1bMJHS6X,q-K1jZPGT2pV-8g6JRqPkhN,Will you bring back the Ch.TA program for the youth?,Governance and Decision-Making,1/7/15 10:50,02215
u-BO4ER6Ybou-5VMxPifZlQ,q-QrelsZcsXX-rcMagpwHqF,"How can we provide better notification of ""T"" and mass transit arrivals and delays?",Reliability,2/20/15 13:50,02215
u-OkQcJN2GAx-FpO6fpxEuv,q-oFqzX7tswt-l1y0EVI7np,When are we going to invest in high speed rail infrastructure and low emission buses and trains?,Sustainability-Climate,2/5/15 16:16,02215
u-wytEfJbpdT-DEWunVG4hs,q-Irto3Y8IQl-6NBFf0VGDU,"When will we connect the ""spokes"" of transit and build the urban ring?  It takes too long to go from Longwood to Cambridge via Boston Downtown",Access,2/20/15 13:27,02215
u-g2w7BeqD3n-35pJ3GMoG2,q-Ns40Nigo31-ewS5043eTb,Will Boston ever be a safe city for bikers?,Safety,2/7/15 14:14,02215
u-KuOrNpwX7o-BGeCIkzmCU,q-2PXMbce8iB-RfZHojc9KL,What alternative types of transportation can be leveraged to access neighborhoods that are not currently as well served by public transportation?,Equity,2/16/15 15:57,02215
u-VhuHSrbEeu-UpbSYOjmGq,q-5vHZvIUOhB-clBuZQ8BSO,Why is the Green Line so slow?,Reliability,3/9/15 12:04,02215
u-2JSw9GWMWb-po7YuQv6O5,q-3xdLr521NY-k2QaWwfqD2,Is there any possibility that the Green Line can be converted to an actual subway all the way out so that longer trains can be run and commuters do not have to wait for 2 - 4 full trains to pass before being able to board?,Reliability,2/6/15 9:13,02215
u-E98vtYZP4q-P4TWSm5tkh,q-hiudr49YwO-EEbqXfG3mo,What type of transportation ideas do you have in mind? Is it going to be futuristic?,Innovation-Technology,4/15/15 10:57,02215
u-mCrHE3cHLM-TXV28693kL,q-UspR9cUnBT-mtuT5dBKbz,What if everyone had a bicycle to get around?,Access,2/6/15 11:31,02215
u-mCrHE3cHLM-TXV28693kL,q-khmZn5aXId-kFb2oMO9Pt,What if everyone had a bicycle to get around?,Access,2/6/15 11:31,02215
u-KuOrNpwX7o-BGeCIkzmCU,q-9hhmjy3O2c-Bd5qREVurs,"How can our public transportation system better respond to issues of climate change - sea level rise, harsher storms, higher temperatures?",Sustainability-Climate,2/16/15 15:54,02215
u-yPihuygsdN-DOd92B3tv2,q-7H8xE1b18g-jkrIeUg6lm,"Can we find a way to track trains and buses like they do in Chicago (and I'm sure, many other cities)? It makes a world of difference when you're standing on a platform to know what kind of wait you're in for. You can make a real-time decision to take a taxi if you're going to be late.",Innovation-Technology,1/26/15 13:19,02215
u-SwNnFdoW5z-9K05m6DUkB,q-FTzZoqm6Bn-soFMkw1WnA,"How can ""the ride"" for handicapped people be more timely?",Access,4/15/15 11:30,02215
u-8xmVagVtw0-vrdNTs02qm,q-aCr8zx8STI-N3PfMJBHFm,Why can't we put sensors on the green line tracks so commuters can see where they are in real time?,Innovation-Technology,2/9/15 8:33,02215
u-BO4ER6Ybou-5VMxPifZlQ,q-4ZJqkvgsB4-NHu6ViKqVo,Can we provide more frequent and efficient rail service?  (I have traveled in Europe and Canada by mass transit and found it to be superior to any system I have used in the USA.),Reliability,2/20/15 13:51,02215
u-EwuNCx3Rak-3KgzsjLQ6Z,q-xFdwhXqdaM-IgtqNy32C2,What if roads and sidewalks could clear themselves of snow and ice?,Innovation-Technology,2/20/15 13:38,02215
u-2JSw9GWMWb-po7YuQv6O5,q-mZqG7YhHG3-rYWI48KV3e,"Is it anywhere in the realm of possibility that the T have another line built as a loop that intersected all the existing lines approximately 1/3 of the way out from Park Street?  Example Path:  Airport -> North Station -> Central Square -> Kenmore -> Ruggles -> South Station or Broadway -> Airport  Currently the T makes it very easy to get into and out of town, but actually quite difficult to get across town anywhere outside the downtown area, because a rider must first ride all the way in, and then all the way back out in another direction. ",Access,2/4/15 8:44,02215
u-zgCTeh7NjR-5cGPwqwIVD,q-Cu0m6hYLMK-LTTRPe4QD6,Will the transportation be more eco-friendly?,Sustainability-Climate,4/15/15 10:06,02215
u-m4nobWf3vG-BgFfRG1ztB,q-lVtpdO1Orq-Pu9vuTnrLa,How will we reserve airspace to park our hovercrafts?,Innovation-Technology,1/30/15 12:06,02215
u-oXlAqfRpCy-Y7R7CnIbYY,q-e9xmhMLP9p-LifdSFhe69,Will a new radial circuit be created to get from Cambridge to Fenway to Roxbury circumnavigating Boston to avoid having to travel in to get out?,Access,1/22/15 16:40,02215
u-emQsqezgzx-Q6ztqJ0yq9,q-KbIOltwRI4-boyBzf4wQM,Will the T be privatized to improve quality of service?,Reliability,2/5/15 16:14,02215
u-oXlAqfRpCy-Y7R7CnIbYY,q-lKFEHL6JqH-I9piuMTEbF,Will road-bound public transportation busses be replaced by self-driving trams?,Innovation-Technology,1/22/15 16:36,02215
u-oXlAqfRpCy-Y7R7CnIbYY,q-nnwKcJthqU-w34prKULd0,"Will I be able to board public transportation at, say, Alewife, and have it keep track of where I am and tell me how to get to my destination stop on the Green Line?",Innovation-Technology,1/22/15 16:37,02215
u-jz8wtzpJ6X-hju4imDUl7,q-HsoowFdUls-IRvdUmSVqd,"Why don't we reduce traffic lanes on avenues with streetcars to one in each direction? Why not have the entire middle of avenues such as Commonwealth Avenue be devoted to waiting for and taking public transportation, with streetcar rails at grade, and buses running in the same lanes as the streetcars, and wide sidewalks in the middle of the avenues?",Access,1/20/15 10:24,02215
u-m2SeM8KnYJ-6BLZjpKNLn,q-OSSd5WTIvq-UPmZ5OGgkX,Will we have a world class transportation system like Amsterdam or Toronto?,Access,2/5/15 16:16,02215
u-XSUA52KVzB-TkClWkHSfl,q-JtMlIeufA4-MCufpydxhV,"How will the MBTA become more resilient and able to withstand increased threats of natural disasters, sea level rise (climate change), and terrorism threats?  What infrastructure upgrades and resiliency efforts can be done to ensure that the transportation system is not disrupted?  Recent winter weather incidents have revealed many major vulnerabilities, what would a large-scale ""Hurricane Sandy"" scenario event do?",Resiliency,2/20/15 13:42,02215
u-sbM3Bjt31b-4Kr9RIG2dL,q-KAsJivnNrm-xsIi025lCg,"With the construction of new residential and commercial buildings, what are growth plans to move people in and out of the city?",Access,2/5/15 16:14,02215
u-Xusg0grFac-clpvI4iwyG,q-wluXgjwkBW-mnGpwnpfys,Can we please have hover cars?,Innovation-Technology,4/15/15 10:08,02215
u-5CjuXuJ33H-eeJ27RBgb5,q-ZgwdD0JTtG-AzFoTeQOCz,"What is being done to connect more marginalized communities to the Boston City Center, allowing for easier/faster access to other local communities?",Access,2/5/15 2:09,02215
u-g2w7BeqD3n-35pJ3GMoG2,q-KObrJOWrYx-OghhYctJdq,Why aren't the sidewalks shoveled in the winter?,Experiential Quality,2/7/15 14:13,02215
u-tyL1fJgaAf-Bczyr60fbz,q-gAo9EBQxv3-1a04lZHqHV,What bike initiatives is the city planning for this area to promote this mode of transportation?,Access,3/9/15 12:55,02215
u-vzxot54ICD-xaRLZYOcP0,q-S32Rd9ZIeK-3qUuwDoCM6,"How will you improve the infrastructure for biking in Boston?  As a longtime pedestrian, a sometimes driver, and only a recent biker, I can see all sides of the conflict between these three groups, but I think that improving the infrastructure for biking would resolve a lot of these problems while making a healthier, more environmentally friendly, less traffic-ridden city.",Access,2/6/15 11:14,02215
u-1RJOHi4ipB-dyd0DyczBa,q-nQXTVQjN7M-8j13PTa5nL,Could the school bus routes be included in the system maps as the public transit? Can there be student maps that orient new students to the MBTA system?,Innovation-Technology,2/5/15 16:14,02215
u-oXlAqfRpCy-Y7R7CnIbYY,q-x1gvz9pTWQ-LTM3R6vvH9,Will you be able to take a commuter rail or subway from South Station to North Station directly?,Access,1/22/15 15:57,02215
u-jz8wtzpJ6X-hju4imDUl7,q-IXsDVfYFn9-tjLHm9ZYfh,Why not let streetcars trip off traffic lights so that the lights are always green for streetcars?,Innovation-Technology,1/20/15 10:25,02215
u-YmzQl4Q9vV-PylHNefzN5,q-7lVXARBqyz-b4kR6SnE2H,Are the streets going to be wider?,Experiential Quality,4/15/15 10:07,02215
u-PX5Kt9iWur-V4jn6RcnEb,q-Mhj9FkJSoG-7Q1YkkXXPJ,When will we get a tunnel under Longwood Ave with a station?,Access,2/20/15 13:29,02215
u-mCrHE3cHLM-TXV28693kL,q-vq24r0rcI0-TF6fSMgaM6,How much will the T cost students?,Affordability,3/9/15 12:05,02215
u-JtlmMekSVb-LekukMLERq,q-L6H7ouzOAb-zMWYWCzSup,"Can more attention be paid to sidewalks for pedestrian traffic, often neglected to focus on roads?",Access,2/20/15 13:48,02215
u-oXlAqfRpCy-Y7R7CnIbYY,q-Q9Wg7XdS8H-ieKIV9A40R,Will Boston promote more skywalks (like the one connecting Copley & Pru mall) to get pedestrians off the street and out of the weather?,Access,1/22/15 16:44,02215
u-g2w7BeqD3n-35pJ3GMoG2,q-6WfIpFEM42-gDjbF0DgnK,Can the outskirts of Boston be more accessible via public transportation by 2030?,Access,2/7/15 14:17,02215
u-JZTrsIHKc5-j3G5W2eiDG,q-7ulu1crSon-x3NDe6fj4M,"What are the plans to deal with this heavy snow in the future? More people us the T when the weather gets cold, making commuting very slow and crowded.",Reliability,3/9/15 12:16,02215
u-okhAuG80rs-MGYacjpvIe,q-cu9qtZfn8k-Jggp88iZ5h,When will the T stops on Boston University's campus be consolidated?,Reliability,3/9/15 12:05,02215
u-2JSw9GWMWb-po7YuQv6O5,q-OgYvyS4lAT-S7j3Q0fYdl,"Is it anywhere in the realm of possibility that the T have another line built as a loop that intersected all the existing lines approximately 1/3 of the way out from Park Street? Example Path: Airport -> North Station -> Central Square -> Kenmore -> Ruggles -> South Station or Broadway -> Airport.  Currently the T makes it very easy to get into and out of town, but actually quite difficult to get across town anywhere outside the downtown area, because a rider must first ride all the way in, and then all the way back out in another direction",Access,2/4/15 8:45,02215
