user_id,question_id,question,theme,create_date,zipcode
u-0tEhfneKu7-9XJ3vUEXqY,q-XwphCVVoTo-VyJ7Pn7uMJ,Why aren't the unoccupied trains being fixed?,Experiential Quality,2/20/15 21:49,02136
u-yePotV33Y2-YUEdxNnnEq,q-2hBZCOq4oM-3SAHO1qMuV,"Waiting times too long for #24, 33, 16. Especially the #38 which needs to be serviced on Sundays.",Reliability,3/9/15 12:06,02136
u-tHZVDYOLa4-VpxjcSsBME,q-wuhiS05chV-roVuHLnKvh,When will the schedules be accurate?  Is there a better GPS app?,Reliability,3/9/15 12:04,02136
u-o4emKqOETg-hMNamxFzHm,q-s6JhNVYyJO-yZiI7zZAua,Will the bus sizes increase to accommodate greater passenger capacity?,Reliability,1/7/15 10:50,02136
u-BJoDXygtZu-x4Os3271mk,q-mN0pstRe33-P0nIZRdW9K,Is the bus going to come on time?,Reliability,4/15/15 10:28,02136
u-ZduACgbo5f-KPwgV5f8EX,q-5j5HDI9rye-Cjqh65MfiY,Will the MBTA have reduced prices for seniors?,Affordability,1/7/15 10:50,02136
u-zEWAkFuB0P-7a8TUlJJ92,q-3aAv1IzS0X-Elj02GxW6P,Will the fee of transportation be cheaper?,Affordability,4/15/15 11:03,02136
u-Mc6vkIjyIK-C0mJIkRyfM,q-tBUdP4hYHm-lhfqJjmUPp,Why doesn't the City of Boston and/or the MBTA invest in snow melters like NYC has?,Experiential Quality,3/9/15 12:05,02136
u-PnfJNYBaVz-DlZgllCUZB,q-gRj9ci8pAM-Iu8W4JfAbD,"When will be be enforcing no idling zones at exterior T stations and commuter rails stations?  It is really unhealthy to have people waiting in cars idling next to the platforms, especially when idling is unnecessary.",Health,2/3/15 15:24,02136
u-3ZuD9pQJF0-aAzdzrOfub,q-xKuqGf1sOA-Qm3RO6Eo0M,Will they be putting charging ports on the buses so people can charge their devices? ,Innovation-Technology,2/20/15 14:34,02136
u-kvfaI9TeU7-I3imIQjNE3,q-yZUoClqkEA-0CtiY1ldiu,"Can we get better equipments, new trains?",Experiential Quality,3/9/15 12:55,02136
u-TC1T4ysryT-YrVdQg9p2Q,q-KrqXbUS2pR-tkiKM3Zz7Z,"Though Boston is a commuter city, why aren't the roads plowed better?",Experiential Quality,3/9/15 12:06,02136
u-WVbVOZ4yu3-DttK6krqx3,q-rPD4Uvjm4J-DBdKHYPlku,Will they create more commuter rail stations in Hyde Park?,Access,3/9/15 12:04,02136
u-dxORw9pq0a-fmEyEKLVAk,q-gIY9pqGn9b-5GVV9UxUvi,Can the T be faster?  The buses run kind of late and some drivers don't stop for people most of the time.  ,Safety,3/9/15 12:05,02136
u-Dwaw5aEBix-pNr3zwmrOJ,q-M1yStLg6cJ-LP5GRHd7Xc,How much will the cost increase? Will it be affordable in the future?,Affordability,3/9/15 12:55,02136
u-MsTpm6mxtB-tQVVr69QMO,q-eUqKTB7YBB-uXRZtyiNPj,"What is Boston doing to not only create green, eco-friendly energy but make it accessbile to all people in Boston?",Sustainability-Climate,1/7/15 10:50,02136
u-P4uUiYL6oa-GdF9Ar4AkR,q-64S6iq1gID-yRRZhVVKV5,Will we have more subways?,Access,3/9/15 12:05,02136
u-4UopZZzRUe-kQqaB7lf9S,q-0gym53ateo-khdfCY93u5,Will you extend the T to Hyde Park and other parts of the city?,Access,3/9/15 12:06,02136
u-jGcQCZM0n2-SzgXyOyOo7,q-WTnvJs2Odp-kkNOWrbddp,How come I can't get on the bus to make it to school on time?,Reliability,3/9/15 12:06,02136
u-v9jwrSEPjz-k9npy8ohf5,q-OseTmaa0zH-fTKPQOAIQT,Will there ever be a biking program for youth to promote healthy living and an alternative to taking the MBTA?,Health,1/7/15 10:50,02136
