user_id,question_id,question,theme,create_date,zipcode
u-2n2uaiVm8h-blCh1EskNG,q-jOyyGPFMal-I5dTdfJohg,The city conducted a survey of the condition of the streets and sidewalks in Mattapan in late summer or early fall 2014.  What are the next steps with that project?,Governance and Decision-Making,2/16/15 13:35,02126
u-l02cDym2pE-uTRSapwuCc,q-bfPt12l40R-HHUTkMIHy4,Can we do anything to help for snow removal on sidewalks for walking in Mattapan square?,Experiential Quality,3/9/15 12:06,02126
u-FtiFwzDi5K-lFxmPe3UBB,q-GaD8sYSUbx-sOUY07OcRz,Will there be flying and faster transportation?,Reliability,4/15/15 11:01,02126
u-7jYMSiw8c3-X30tICnGVe,q-bkcvcU91xh-7DvEhUEpQq,What will the city do to make bike lanes (on main and side streets) just as important as driving lanes for cars/trucks/bus. ,Sustainability-Climate,3/9/15 12:55,02126
u-Vn92Ne8DLa-DD25c24AVY,q-k8gVrVPyWw-s7cAOAgfAC,"As a Mattapan homeowner, I would like better Mattapan services. Trolley should run more often along River street, Rt. 27 bus.",Access,3/9/15 12:06,02126
u-cQxmHfzFPV-92ZPmkAA4o,q-g9gqnmIPqe-LINRLH81DU,Will there be buses and trains that run faster and more efficiently?,Reliability,2/4/15 14:08,02126
u-x7TK9KX2dC-iunel3sOjO,q-Ve0GTI3NVK-A0ewd8s6ig,Who will run for the new green initiative?,Governance and Decision-Making,3/9/15 12:55,02126
u-czbqb704Ao-wUv0NxFAbc,q-kkgEKToKXU-YlHLosRPca,Can we have a system that runs smoother?,Experiential Quality,3/9/15 12:06,02126
u-txWQB94901-Ic4oK0FInP,q-DXXMydPEoY-hwfVCJku30,Will there be more bus stops?,Access,1/7/15 10:50,02126
u-aoTDi2IQuA-erwCQHcsN0,q-SeXwOgCpPf-vOA5veK6rJ,Is there going to be less automobiles that don't produce toxic fumes? How are they contributing to the environment?,Health,3/9/15 12:06,02126
u-l55GYd9SAj-rhD07WRpSP,q-W4bz0B54Xf-XlSmpRjV1w,Can all MBTA buses get expanded like bus #28 and #39? Too many people and not enough transport?,Access,3/9/15 12:06,02126
u-Ugr8qOdCUF-jtZzrTfge5,q-g79hix4IYa-ijJMGmXkJc,Why don't the buses abide by the time posted online?,Reliability,3/9/15 12:06,02126
