user_id,question_id,question,theme
u-y737KMsixW-dbTfCcwfUG,q-56ccagSVS6-VBylS6V9A2,"Can we get some air conditioning on the buses? Seriously, can we?",Experiential Quality
u-oXlAqfRpCy-Y7R7CnIbYY,q-IKkB9RBVhG-7S2qbHR2US,Will we have boats to get around the flooded Back Bay and Fenway areas?,Resiliency
u-DMyuR8O3Wj-kfNc2h0byR,q-kGyTB6FKPi-kfU9o3Fhcz,Why do the buses drive away when they see you running for the bus?,Safety
u-1lw8XiF8KD-1DTHXGdsmr,q-uGw146Czez-P2VqQ3kIF0,Can there be a bus route that connects Roslindale Village with the center of Jamaica Plain without having to transfer at Forest Hills?,Access
u-AQEI48eEAO-GBqta4EDAW,q-YXb5aXoqjg-0u3ZXSFxDB,"Will there be a better way to get around the outer parts of the city? Ex. Forest Hills and Quincy Center are not that far apart, but when I worked in one and lived in the other there was no way to go between them. I had to go up into the city, back out, and catch a bus. It took over an hour because inbound/outbound service doesn't consider that people may need to go between the spokes on the subway lines. Will it ever be easier to get to towns next door without having to go to downtown crossing?",Access
u-NOPlAho0p9-y36dBHhizj,q-M01VId67OD-vmMazjdtRJ,Will the Green Line go to Cambridge/Somerville?,Access
u-i2P5uMlEbt-z3lPMAIa89,q-2ZHx9FagZ5-fdVpGvygik,When are solar roads going to be part of Boston's infrastructure?,Innovation-Technology
u-qpFxG7qcwK-lsQ4IThIEo,q-NInpSGi7wG-GTtKpa9GB1,"Will the subway be a clean, eco-friendly, and safe place?",Sustainability-Climate
u-u3QG6iVpGe-Ynn8atCnmf,q-k9uNWTQL4L-Q5OT4hnRpQ,What if we had safe & healthy transportation alternatives? Cycletrack around Boston that connect EVERY neighborhood with low-stress bikeways.,Access
u-1DOy0o4W8m-g7IhmVlaHe,q-zXgmLCcdhY-tCHh9TBnka,"Bikes and cars on the same road are dangerous!  We need distinct, separate lanes for bikes - not at the expense of existing car lanes.  ",Access
u-xGg3COyL3G-bdebx7gxf9,q-H2ym15ejnT-lz9wT5qhxQ,Why don't you use the taxes we pay to get us better transportation services?,Experiential Quality
u-LN3aR1vcfl-9jB0sGJinF,q-KDUXzNcwzP-9GDwOyN6Z8,Will there be emission reduction?,Sustainability-Climate
u-WbokLByPrg-JimPrpFGIA,q-CwLUl1WC17-J2TdOxCqW6,Why are cars allowed to park on both sides of the street during periods when snow banks have narrowed the streets so much that many are reduced to a single lane?,Experiential Quality
u-2dTMBlRaHK-WR3legy6ux,q-G5tHAgnP4j-84VvIMpuIx,Will transportation by trains become more efficient?,Reliability
u-1OGaIahy9J-4YQPuu7LO1,q-vXyiAPGrSW-acTOPNWLjG,When will the Orange Line stop feeling like the forgotten line?,Reliability
u-YMjnNjBRHY-iMErXNBwem,q-eYk71SKczS-LFmasOZeNj,Can we have frequent transportation in the evening?,Reliability
u-1aJsmxnMxH-sdb5TNzmi5,q-u46vD62pma-9K7FFpFb1v,What if all buses were more fuel efficient?,Sustainability-Climate
u-Uqvj7FmVrp-wnwXzhemV7,q-TdPf1j5LWZ-QdklYiOnZk,How will biking be made safer?,Safety
u-NHDXmmYycf-B9OExuIxWp,q-utq1U1pqAi-Dr96p8N0VJ,How can we make cars unnecessary?  Zoning? Planning?  Luring select businesses like grocery stores?,Governance and Decision-Making
