user_id,question_id,question,theme,create_date,zipcode
u-3PLdYJQJnO-zfUAAI2rVp,q-E90OvoCrOl-ybUTuFIHFH,Are there going to be high speed trains?,Access,2/18/15 18:31,02116
u-3PLdYJQJnO-zfUAAI2rVp,q-935L8F1ipk-AqJrNFXPVQ,When will there be teleportation?,Innovation-Technology,2/18/15 18:32,02116
u-3PLdYJQJnO-zfUAAI2rVp,q-L5D5Ejkn7R-OIBHQk2bI2,Will there be more crosswalks?,Access,2/18/15 18:32,02116
u-RXuQ4KhBZD-BUrVuC1Yaz,q-vroV3qMouq-k4jLchijCu,When will we be able to see the times on the green line?,Reliability,3/9/15 12:16,02116
u-DS0lqtpqxL-Wz65YNCYJe,q-yk2Grzzc7W-O7EtDDeeLd,When will snow banks on sidewalks automatically melt?,Innovation-Technology,1/27/15 12:43,02116
u-3PLdYJQJnO-zfUAAI2rVp,q-sj9nYTpjkw-qQUth3IE4R,When can submarines be a part of the MBTA?,Access,2/18/15 18:37,02116
u-2fP6D30pbF-FO3l8GWD9D,q-EbnW7hiQgX-wlacUblK8C,"Will the transportation system get better, for example more buses, trains, and an on time computer rail system? ",Reliability,2/5/15 16:16,02116
u-YDgrogFqBh-jFWxLvr5S0,q-8RevhbU29R-d6iuXbIrw3,What if we could GROW our next piece of transportation infrastructure?,Sustainability-Climate,2/12/15 9:35,02116
u-3PLdYJQJnO-zfUAAI2rVp,q-zHAbugno6u-GSv0yAn8Fu,WHEN WILL THERE BE TIME TRAVEL?,Innovation-Technology,2/18/15 18:34,02116
u-6clUF2MpcS-EPmhFbUhte,q-xIttU3oToT-iDU6Pmkdf1,Will people get around by boat in the future?,Access,3/9/15 12:18,02116
u-3PLdYJQJnO-zfUAAI2rVp,q-v0A9ZW8fOf-Sy8mbAYXsq,When can we rework the highway exits?,Experiential Quality,2/18/15 18:37,02116
u-3PLdYJQJnO-zfUAAI2rVp,q-R82QjJaSgx-Y9SuBFgwAr,How can we stop the MBTA fares from increasing?,Affordability,2/18/15 18:39,02116
u-fcdmX1t9Pj-EbZBdQYQ2l,q-Fv5OhMrwu1-KhevrolxRY,More ticket stations!,Governance and Decision-Making,3/9/15 12:16,02116
u-lBt0gCsM9r-PIHE54jJTp,q-AoP2HmaPj1-EaozMwqpbp,"Will MBTA service ever be consistent? There always seems to be a problem with the Green Line, and when the Red Line is out, it seems as if the whole city is thrown into a panic. The streets become very congested with shuttle busses, particularly between Park Street and Kendall Square. We need to invest in our subway system, especially if we want to host the Olympics in 2024.",Reliability,2/5/15 14:50,02116
u-3PLdYJQJnO-zfUAAI2rVp,q-wr3sP1AtZn-9El3ul0DzE,Can there be more mutual carpool plans?,Access,2/18/15 18:41,02116
u-3PLdYJQJnO-zfUAAI2rVp,q-T6BauR4eOM-cdQprYyQTR,When will North and South station be connected?,Access,2/18/15 18:38,02116
u-MPuzrWdI6W-WHwBsncmvW,q-SN2F7hWyfl-aXnIKfwO3k,What if buses were better spaced out?,Reliability,3/9/15 12:06,02116
u-3PLdYJQJnO-zfUAAI2rVp,q-ptFIWVzeoX-LCHjVKdl8h,Are there going to be more eco-friendly things?,Sustainability-Climate,2/18/15 18:33,02116
u-3PLdYJQJnO-zfUAAI2rVp,q-OXIlTQGViN-RhvIuvbBEm,Will there be more train/bus routes?,Access,2/18/15 18:34,02116
u-WbokLByPrg-JimPrpFGIA,q-OYseuBQISA-5bEjRhgDgt,The Riverside T line was originally a train line. Can we return it to a train line and have it bypass the congested  Green Line tunnel?,Access,1/28/15 16:30,02116
u-yTTVDEg7KG-Fia83k4IEk,q-GorqPikJ4K-2vqU3T2X7b,Why does BU have 3 T stops?,Access,2/17/15 14:13,02116
u-3PLdYJQJnO-zfUAAI2rVp,q-gA06tDC2mB-0ZUKMT60re,When will the green bikes be more accessible?,Access,2/18/15 18:38,02116
u-3PLdYJQJnO-zfUAAI2rVp,q-Lzm7UhjyXc-7yFBdLZOpe,When will there be a new train line for distant neighborhoods?,Access,2/18/15 18:30,02116
u-zTOn5vF178-KsICyY8Ksg,q-TKwtc8gwYx-GsxxacVEq2,How can we generate greater appreciation for the pedestrian as part of the development process?,Safety,1/30/15 12:06,02116
u-FdDgJdml91-xFrsU74Hg1,q-aTmlrNkfoq-W8tQfxKkzN,Will I be able to ride the T without using a card? Can we adopt a system like EZ-Pass for T riders?,Innovation-Technology,1/30/15 12:06,02116
