user_id,question_id,question,theme,create_date,zipcode
u-6Bm1K4rCcp-0FRESNFA6B,q-gFAVPKhgcy-jsp7Z37Ep6,Will the shared bike system be expanded in the future?,Access,2/17/15 22:01,02129
u-fszcAcx2yQ-TgR3feMYSG,q-xYDTTxO7FW-8XN6Nm8j4z,How will driverless cars impact Boston?,Innovation-Technology,1/15/15 16:23,02129
u-Jjc62AD4jR-EMrgN4FCH0,q-6zK1afov8o-PfwQmMTHj1,What if taking the T across town was faster than driving?,Reliability,1/21/15 18:46,02129
u-Jjc62AD4jR-EMrgN4FCH0,q-NwHn2V5FeB-fMXvHecjWM,Will there ever be a T Station on the Braintree line between JFK/UMass and North Quincy?,Access,1/21/15 19:36,02129
u-69RldyOaLA-9qEkYVNzJ3,q-nCdz7pDr93-wzgemOGiKL,How does the city and region grow with a limited road capacity even as parking spaces continue to increase?,Access,2/1/15 8:16,02129
u-NaO7p83dLi-akKYV9CNMx,q-4HEkxbjO2t-UG7cClXPOu,What's the plan to work on this sooner rather than later?  This season has been an embarrassment ,Reliability,2/15/15 9:10,02129
u-CJbf3MtikU-vV1oCFYa9l,q-wYozdwAhtj-rQCjqkSKdu,"What about using air power and pressure as propulsion for rockets, cars, etc.?",Innovation-Technology,2/25/15 17:05,02129
u-7dNeGDQNuj-y8xcV6PvLo,q-d14Bfs8NnV-xKaIl2xhj3,"As long as I can still get around, I don't care.  Will I still be able to drive?",Access,3/9/15 12:18,02129
u-u8eJQmhfCW-lqe1ZsAKTN,q-w5WovWsRCd-5nGHycpMAA,Can we ensure Uber stays?,Access,2/3/15 14:41,02129
u-u8eJQmhfCW-lqe1ZsAKTN,q-lXPy0XgAR1-xXqAVjy9a5,Will we move to pay-by-plate parking? Reward more fuel efficient vehicles with lower fees.,Sustainability-Climate,2/3/15 14:39,02129
u-KYwm9RQe1T-QcAtSojHSi,q-fbUBsxpksy-NnA4L0iIu0,"How can we indicate to drivers that no city streets are part of the highway system, especially near on and off ramps?",Governance and Decision-Making,1/7/15 10:50,02129
u-Jjc62AD4jR-EMrgN4FCH0,q-JH1Uzqji7A-Gr7WLbufo0,"Will the rotaries in Boston (Sullivan Square, Neponset Circle) be more pedestrian/bike friendly?",Safety,1/24/15 13:43,02129
u-yq41SPX3q6-Wrai97EfKz,q-1YinQlDDik-n8tHKNLZTT,"What can we do to make the Sullivan Square transit and bus facilities far more accessible to the Charlestown and surrounding communities?  This includes more frequent service, better access by walking and bikes, a better layout and modernization of the facilities, and transit-oriented development.  ",Access,1/30/15 13:31,02129
u-EeEs8m5BqF-PODamTQQnn,q-3fkNqcLuhD-B9bSBboKgK,"Can we increase public transportation to make it more easily accessible to reduce carbon emissions, and traffic in Boston?",Access,1/22/15 13:32,02129
u-519jWEC10w-u32jzTsRdQ,q-Ez3Bc7V6Hg-ydcWPVxxDF,Is the Bus fare going to continue to increase?,Affordability,3/9/15 12:55,02129
u-FVGAy3Idha-5AqkM8DL3y,q-TSriwSEjdX-R58YPgqSj4,When will the bus and trolley be reliable in Mattapan like it is in Kenmore?,Reliability,3/9/15 12:06,02129
u-CJbf3MtikU-vV1oCFYa9l,q-ygacDUWFuS-J548NXCbYe,Will there be streets that melt their own snow?,Innovation-Technology,3/9/15 12:56,02129
u-6Bm1K4rCcp-0FRESNFA6B,q-tUKbNleoAO-Bm4CEhDXyW,Is there a way to make parking and locking your bike at a t stop less risky and prone to vandalism and theft?,Safety,2/17/15 22:03,02129
u-0DWTgOB158-NYBTTZI4G4,q-lVB1lzoYwN-eO8yQbzDkq,Will it be more comfortable sitting down?,Experiential Quality,2/5/15 16:14,02129
