w,question_id,question,theme,create_date,zipcode
u-sYuhok6Plo-X6ETHHJrqn,q-oHnsRklQdv-LZYrGseuUg,When will Boston get real BRT? We can do so much better than the Silver Line.,Experiential Quality,2/6/15 20:11,02110
u-AKJfnahbyx-hjtbk8bDB1,q-Dk8sniK4Tj-D3Mskj7VaY,Will the city provide exclusive lanes for buses to improve speed and reliability?,Access,2/5/15 14:14,02110
u-B8d5ky6tNI-zrTFZDDpis,q-ArDMK6gdXh-xg0Inhh2km,I broke my leg last year and could not get on the bus. How will I get on the bus when I am old an in a wheelchair?,Access,3/9/15 12:18,02110
u-IUME3DuxwN-r99jPR6Znv,q-b6Em0lXTzA-wN852qmbiI,Are there going to be TVs on the trains?,Experiential Quality,3/9/15 12:56,02110
u-z79MXBqF74-0gTcEfffYf,q-ldzdjVNMxV-wK2cGnHZn0,How are we going to deal with too many cars and pollution?,Sustainability-Climate,1/7/15 10:50,02110
u-0HCTlNyTeT-CrhbClmhXO,q-5vUP4JHuUP-NidZb5Kc5D,"How can Boston establish the impeccable transit infrastructure, like high speed rail connections to outer city areas/suburbs and modern subway systems with fast service and short wait times, that so many European cities achieved decades ago? (e.g. Paris, London, Berlin, Stockholm) ",Access,1/23/15 9:54,02110
u-DMimwG3EjA-My48QLVcS3,q-VAdzyivOYN-AlHpac1npE,What are the plans for more parking?,Access,3/9/15 12:05,02110
u-tlNxrjZeBy-EYeKpAU1kS,q-xU8zIBeJgN-zPJfXfEsAy,Why couldn't satellite parking be built outside of Boston and VASTLY IMPROVED public transportation be built to connect the satellite centers with downtown Boston and Back Bay?,Access,2/1/15 13:24,02110
u-tkiedmyana-OUdDpKKCz9,q-F46ml00yq1-0G7ZtLVjC1,"When will Boston impose a rush hour congestion charge (like London has done to wild success), to manage traffic via fundamental economic forces? ",Sustainability-Climate,2/15/15 9:14,02110
u-IsLOOye9iV-yfNXzulfpx,q-ds5vCBdFt8-GIqbjzL7jE,Will the city dedicate lanes to buses to improve capacity and reliability and speed?,Reliability,1/28/15 14:56,02110
u-PzB46lnXf6-n2eqTbz5D3,q-erzFYYvfhh-HyVYLmEzOx,Are the buses going to look different?,Experiential Quality,3/9/15 12:56,02110
u-G2sA5DOEET-AOiZCGSl91,q-dMCmcCURcd-kj5z0tSbQa,Won't mode share for cycling increase much faster if we built out the 2030 bicycle plan right away instead of waiting? ,Access,1/19/15 21:51,02110
u-cmkXf1ljco-RFucQva81W,q-DeBGJtdg5I-muODqT7rs3,Why can' t the Charlie card with a Link pass on it finally be used on the commuter rail stops within the city of Boston or the Zone 1A stops?,Innovation-Technology,2/11/15 14:29,02110
u-tz2FitfCmN-SlzKluFDFZ,q-SOCylRKRQE-l2L61pw61R,"What is stopping Boston from achieving a seamless, upgraded public transit system (like Paris did many years ago) where one can easily and quickly get from A to B without a car?",Governance and Decision-Making,1/15/15 15:20,02110
