user_id,question_id,question,theme,create_date,zipcode
u-VYCsrwRIVb-2YAiIUNRwJ,q-SAL9EHzaBi-NzVYsa8S1U,When will Boston make intersections safer?,Safety,1/30/15 20:13,02120
u-CG02H5dA6u-KDgJ1x4iJL,q-65wgr1vbUQ-lQichDEF5n,Will they allow flying cars in the future?,Innovation-Technology,3/9/15 12:47,02120
u-C1fJvd72pg-3PvIlJY0LP,q-cXOI8FFBuw-KjVyVbDVXr,"Why aren't we building canals like in Amsterdam to protect us from the imminent danger of rising sea water levels in Boston's land filled areas such as Back Bay, the South End, and Lower  Roxbury?",Resiliency,1/23/15 8:24,02120
u-O0YltzAzAi-yJoXQJ6DdU,q-JUBguT99qs-kENgDQlGNJ,Will there be outlets in the buses or trains?,Experiential Quality,4/15/15 10:31,02120
u-vZzplqlH1R-qPSZ4m73X6,q-ah2l5HS6Gs-TKZzzxz9of,When will the transfer be longer than 2 hours?,Reliability,1/7/15 10:50,02120
u-Uf9hmlWIEN-ZAuqEaFzfI,q-JWxEIr8mJb-blRHYTgJrb,"How can we transform Melnea Cass Boulevard from a highway that bifurcates a low-income community to a pedestrian-friendly, bike-friendly, walk-to-school friendly boulevard with lots of green space and very calm traffic?",Access,3/9/15 12:55,02120
u-LqGtaS0SuT-strm7I0fNa,q-oEtymfzL2u-mk98Drdjd3,Can the buses have tow truck wheels so we don't get stuck in the snow?,Experiential Quality,3/9/15 12:55,02120
u-AxtAn0VU6y-3NUcqYGwzu,q-JU8E0HX5BC-O0sppnQUU1,How can we be better prepared for the snow next year?,Resiliency,3/9/15 12:18,02120
u-lvwOURXKjl-rjI85D4KYs,q-m0h0FuesOF-K21IrQNbEK,Why was the T made?,Access,1/7/15 10:50,02120
u-5xW45H3CVd-Y1In8732ZB,q-vCPLVC4QLI-YDl3fAuWDO,Can the city put outlets on the buses and trains?,Innovation-Technology,3/9/15 12:55,02120
u-qYCjNvhlcE-5vbhgAKx0B,q-s2TtDCWMLe-QTYSGXWNdb,Will the bus drivers be more courteous?,Safety,1/7/15 10:50,02120
u-PzC7JK4tgo-fgI2Z2cIWh,q-JtIPzyKc0A-Yimw2x7eFI,Can we put protected cycle tracks on every bridge into Boston?,Access,1/14/15 13:30,02120
u-VYCsrwRIVb-2YAiIUNRwJ,q-XVmNpXg6us-mgEmKy0Zbn,When will the #39 bus stop at Massachusetts Ave so that passengers can transfer to the #1 bus?,Access,1/30/15 20:15,02120
u-BaBGWsPN3b-MG58DBHQlH,q-3HMnHyDFgP-Gw1864IuV9,Will there be time machines to transport people?,Innovation-Technology,3/9/15 12:47,02120
u-a3mJBX9K6u-oGnOjBwjJ7,q-nTtfmuLJ8t-lUknvfTXI9,How can we get more transparency in the MBTA?,Governance and Decision-Making,2/13/15 21:16,02120
u-F1DaeymfP7-vLxzWsnZro,q-Z3MMCl1K1i-0Ah9laiDny,When will seniors and people with disabilities be treated equally on the MBTA trains and buses?,Access,1/7/15 10:50,02120
u-uYHcb7B0RQ-fhKKCycazM,q-Tg5DCAyBzW-4yyVXwadVR,Why not make separate opposite direction lanes for cyclists on wide streets that are one way for cars?,Access,1/31/15 9:25,02120
u-VYCsrwRIVb-2YAiIUNRwJ,q-jthXx3frSL-PibkkesDJ8,When will Symphony station be handicap accessible? ,Access,1/30/15 20:19,02120
u-PzC7JK4tgo-fgI2Z2cIWh,q-zCyN9dXBcq-ADqbL2DP64,Can we create a bike network that makes it safe for children to ride their bikes on every street in Boston?,Access,1/14/15 13:34,02120
u-TfjGvq8JcV-S0VhujSazA,q-YI768ST5UA-XjFKOuHv5K,Why are they taking so long to clear the snow?,Experiential Quality,3/9/15 12:55,02120
u-pwzRw3DYRC-AKNCpEJPvY,q-N6E7FIpZIO-mvrcTJ17YS,1. Increase the frequency of trains/buses/Commuter Rails 2. Can we improve winter season services?,Governance and Decision-Making,2/20/15 21:25,02120
u-JUgMuIgada-JbzYDJzmEx,q-MkLUwyTurU-9hAnQHtzP6,,Affordability,1/7/15 10:50,02120
u-TGVw71ziVN-QVcZgtNHQk,q-YC2E12y9FN-5TdKQUg5pO,Why doesn't the City of Boston clean all the sidewalks?,Access,2/17/15 13:48,02120
u-58uRAI3TrX-29crAeAyrT,q-E42BxuPl9M-PisatA8HMO,How about putting a trolley on Columbia Rd?,Access,1/31/15 14:49,02120
u-WDnRcc31aj-m4iHqBWtHP,q-ueHlqf48qS-DxgKE0OBto,"How will Boston deal with the increased population from the Olympics, when all of its lines are full on a daily basis during commuting hours?",Resiliency,2/20/15 21:14,02120
u-UUsk7fxsFR-iZcoPhXcgW,q-A7wYoQp85q-slEMnfOo3p,When will all transportation modes be cheaper?,Affordability,1/7/15 10:50,02120
u-PzC7JK4tgo-fgI2Z2cIWh,q-yxRyA4BLTY-6fgvb1ZrQE,Can we restore the Old Northern Avenue Bridge as a car-free route between downtown and the Seaport?,Access,1/14/15 13:29,02120
u-VYCsrwRIVb-2YAiIUNRwJ,q-mNGL9Fejoa-xXg7tBeZuQ,When will the bus stop be replaced in front of Brigham & Women‰Ûªs hospital? ,Experiential Quality,1/30/15 20:39,02120
u-nGf3DIfaaf-yv19skISxP,q-MGkzksNaij-3FYG7oZfMl,Why is the fare so expensive?  ,Affordability,1/7/15 10:50,02120
u-VYCsrwRIVb-2YAiIUNRwJ,q-34bYGaUfaU-NTkmfGwkie,When will Boston require larger sidewalks to accommodate pedestrians? ,Experiential Quality,1/30/15 20:12,02120
u-NjoWDgtvFo-oe1XE1q3nk,q-3EYPkuVGh6-KtDBAv9Z3X,When will we have bicycle taxis around the city?,Sustainability-Climate,1/7/15 10:50,02120
u-X7v7gfTFVO-WMUS511IyR,q-sw9z7AacCC-6lzrGeIUQ5,Will everyone be able to afford transportation?,Affordability,4/15/15 11:03,02120
u-lWvW9lGF2H-lMMbslYG97,q-LVRDwl11yh-slPhUdOIsO,When will there be buses that run on time?,Reliability,1/7/15 10:50,02120
u-BSbhmsQrmY-WrLB6NCn2C,q-9y4KW5GhVV-04VaYW5NqY,Will there be a 24 hour transportation service?,Reliability,1/7/15 10:50,02120
