user_id,question_id,question,theme,create_date,zipcode
u-rv2USduW3V-pLxsNhZHS8,q-7rkaNCgIAM-n5LWFMIyv4,I want to know about the plan to install smart traffic lights.  ,Innovation-Technology,3/9/15 12:04,02113
u-rAbGwTEtpu-hhBQHPwYZq,q-cy9WxPmlrt-T3KyShHNsY,Will we have teleportation?,Innovation-Technology,3/9/15 12:04,02113
u-rIEiH6pyTg-25fUsiP8dA,q-LBPxUQP5h5-ZAGwCpwKoy,Will there be flying cars?,Innovation-Technology,3/9/15 12:05,02113
u-vBDRtDbeOn-L8Yhx0ZiSL,q-AgVGCBmWH4-2nDzkPVwJR,Will flying ever become a part of public transportation in the upcoming years?,Access,1/7/15 10:50,02113
u-2Dl7K5WCZo-RWTiT59aa6,q-WPohbUypdZ-nXaJlWh1oC,Will there be more transportation to the seaport?,Access,3/9/15 12:04,02113
u-VzR0qoUz3r-z11hK6DUze,q-i8ot4SYoq5-P7MGAeZNAv,When are we going to have more electric car charging stations?,Sustainability-Climate,2/11/15 20:38,02113
u-OYUIhOrsz0-3OcA77jWTc,q-ZMP2fX88NX-Fpjgfcx6x4,Will the sharing economy continue to revolutionize transportation?,Sustainability-Climate,1/14/15 16:36,02113
u-72EMte79WE-pSaTdWRRnm,q-bVBj6bsw3O-RDK8rrcfgX,When will they build the North/South Rail tunnel link?,Access,3/9/15 12:05,02113
u-DgzgEpLMa4-A0fkiFMVaS,q-LTNYnSPlk5-bZgwHIT7N0,Can we use the Charles River for shuttle services and transportation?,Access,1/7/15 10:50,02113
u-Nt4c7XTCRo-ivZcDXI2cc,q-EgCnx4yvYN-SxTpPCIvqn,Will East Boston have a ferry?,Access,3/9/15 12:05,02113
u-b9z0AJFxAq-5KPtb05Euv,q-cG2CqsxXKl-3I6277pjpf,When will downtown Boston be car-free?,Sustainability-Climate,1/7/15 10:50,02113
u-000rl65iuz-in8wVJEVvV,q-QYfrST5aSw-DKPT7JlPcF,Could we have insulated heat bubbles?,Experiential Quality,2/11/15 21:43,02113
u-8RoDauBbwT-NFnQIjsIrv,q-hqjlaj3cUS-rTUfW2jtLQ,Will Boston be a leader in the movement towards solar roadways?,Sustainability-Climate,1/14/15 6:18,02113
u-xwvzLro0fA-GejRPkRmHq,q-vE6iMUnrHs-3BSUzCjGNF,When will the Orange Line go to Roslindale?,Access,2/20/15 20:14,02113
u-BW2RyjbPkQ-0eepMC99ZT,q-RCIrPzdgX9-pNiOYr5i2h,Why does it take an hour to get from the North End to Southie?,Reliability,3/9/15 12:04,02113
u-toRmHIEby0-sa6tLY83Gf,q-ni7Ffgj96G-jtomcFsHxD,What about electric scooters?  They're easy to park.  Get rid of cars.  ,Innovation-Technology,3/9/15 12:04,02113
u-tjKSeYAXEH-IJOsxSJAPN,q-eURJ1Su6b2-pjDlVKLv74,How do we (really) account for the natural climate of New England?,Reliability,2/12/15 10:33,02113
u-eAfux1dlfM-Ao8fM54cmm,q-2tRXoXCkdm-bFCJHUl7qd,Will Boston's transportation system be carbon neutral by 2030?,Sustainability-Climate,2/9/15 14:52,02113
u-FZbBb1QvqF-fW4ZdRvyse,q-8jXMqV8K9N-2qbwDm5j5T,Will the T run between the seaport and Back Bay?  ,Access,3/9/15 12:05,02113
u-sYuhok6Plo-X6ETHHJrqn,q-oHnsRklQdv-LZYrGseuUg,When will Boston get real BRT? We can do so much better than the Silver Line.,Experiential Quality,2/6/15 20:11,02110
u-AKJfnahbyx-hjtbk8bDB1,q-Dk8sniK4Tj-D3Mskj7VaY,Will the city provide exclusive lanes for buses to improve speed and reliability?,Access,2/5/15 14:14,02110
u-B8d5ky6tNI-zrTFZDDpis,q-ArDMK6gdXh-xg0Inhh2km,I broke my leg last year and could not get on the bus. How will I get on the bus when I am old an in a wheelchair?,Access,3/9/15 12:18,02110
u-IUME3DuxwN-r99jPR6Znv,q-b6Em0lXTzA-wN852qmbiI,Are there going to be TVs on the trains?,Experiential Quality,3/9/15 12:56,02110
u-z79MXBqF74-0gTcEfffYf,q-ldzdjVNMxV-wK2cGnHZn0,How are we going to deal with too many cars and pollution?,Sustainability-Climate,1/7/15 10:50,02110
u-0HCTlNyTeT-CrhbClmhXO,q-5vUP4JHuUP-NidZb5Kc5D,"How can Boston establish the impeccable transit infrastructure, like high speed rail connections to outer city areas/suburbs and modern subway systems with fast service and short wait times, that so many European cities achieved decades ago? (e.g. Paris, London, Berlin, Stockholm) ",Access,1/23/15 9:54,02110
u-DMimwG3EjA-My48QLVcS3,q-VAdzyivOYN-AlHpac1npE,What are the plans for more parking?,Access,3/9/15 12:05,02110
u-tlNxrjZeBy-EYeKpAU1kS,q-xU8zIBeJgN-zPJfXfEsAy,Why couldn't satellite parking be built outside of Boston and VASTLY IMPROVED public transportation be built to connect the satellite centers with downtown Boston and Back Bay?,Access,2/1/15 13:24,02110
u-tkiedmyana-OUdDpKKCz9,q-F46ml00yq1-0G7ZtLVjC1,"When will Boston impose a rush hour congestion charge (like London has done to wild success), to manage traffic via fundamental economic forces? ",Sustainability-Climate,2/15/15 9:14,02110
u-IsLOOye9iV-yfNXzulfpx,q-ds5vCBdFt8-GIqbjzL7jE,Will the city dedicate lanes to buses to improve capacity and reliability and speed?,Reliability,1/28/15 14:56,02110
u-PzB46lnXf6-n2eqTbz5D3,q-erzFYYvfhh-HyVYLmEzOx,Are the buses going to look different?,Experiential Quality,3/9/15 12:56,02110
u-G2sA5DOEET-AOiZCGSl91,q-dMCmcCURcd-kj5z0tSbQa,Won't mode share for cycling increase much faster if we built out the 2030 bicycle plan right away instead of waiting? ,Access,1/19/15 21:51,02110
u-cmkXf1ljco-RFucQva81W,q-DeBGJtdg5I-muODqT7rs3,Why can' t the Charlie card with a Link pass on it finally be used on the commuter rail stops within the city of Boston or the Zone 1A stops?,Innovation-Technology,2/11/15 14:29,02110
u-tz2FitfCmN-SlzKluFDFZ,q-SOCylRKRQE-l2L61pw61R,"What is stopping Boston from achieving a seamless, upgraded public transit system (like Paris did many years ago) where one can easily and quickly get from A to B without a car?",Governance and Decision-Making,1/15/15 15:20,02110
u-G2sA5DOEET-AOiZCGSl91,q-Evzxgk28yL-NYvnvXswzr,"Why can't we lower Boston's default speed limit to 25mph?  Crash rates plummet at 25mph, and people hit by slower moving cars are far less injured/far more likely to survive.   A default speed limit of 25mph is good for everybody, including drivers. ",Safety,1/14/15 11:32,02110
u-vQlP4TPLpa-5APtMgEToD,q-XhxeT7y1NG-8ob1a6vOJv,Why is it consistently more reliable to drive to Boston than to take the MBTA?,Reliability,2/3/15 10:42,02110
u-oUXOiJO0RJ-tz67MvWcyF,q-8GQWuHg8qz-loK2mhHP7f,Will the South train station and North train stations be connected?,Access,1/23/15 11:22,02110
u-IsLOOye9iV-yfNXzulfpx,q-5Zm8sgr9Dd-SwryUHdNWn,Where are we going to put the new bus maintenance facilities so we can expand service in the core of the region?,Governance and Decision-Making,1/28/15 14:52,02110
u-AKJfnahbyx-hjtbk8bDB1,q-3g45fx9ydH-76Vmo9G72u,How do we figure out who is responsible for clearing snow on sidewalks?,Experiential Quality,2/5/15 10:05,02110
u-IsLOOye9iV-yfNXzulfpx,q-s3oxgG4ago-GV86XifLrX,Who is going to cover the cost of reduced fares?,Affordability,1/28/15 14:55,02110
u-tkiedmyana-OUdDpKKCz9,q-vNy9LDUq0D-PkDnjllDRv,"When will we start using pricing to manage street occupancy & turnover, instead of simply charging a static price set in the 1980s?",Governance and Decision-Making,2/15/15 9:11,02110
u-mHsHhrsEKX-YLOfgo0Xnt,q-dmAM2KEx9J-GgqegYMhRn,"How will you ensure the solution is paid for into the future. Not a political toy, not like an embarrassing Yankee Swap gift that our govt doesn't know what to do with. This is a serious question; our roads, bridges, rail and other infrastructure are literally falling apart because funding is not secure and money was squandered on the Big Dig for years. Green transportation is good, it's right, but it has a cost. Don't backload it for the future. Thank you. ",Governance and Decision-Making,2/13/15 11:24,02110
