user_id,question_id,question,theme,create_date,zipcode
u-qBEPZFgRjU-33zkEhX2Gz,q-C8AfLWu6bq-AeFbrvr9vG,"Can the T, bike shares, and car shares be linked and more accessible?  Happy to pay for this.  ",Access,2/20/15 12:43,02131
u-ZOHXnuhxqQ-2ddjiTHhhm,q-MaeaCsqfpS-y2kpY40GlJ,Why are there no sidewalks on Morton street?,Experiential Quality,1/23/15 15:18,02131
u-zdVzwLe7RI-S2gX1wOJbQ,q-E36ALzVGIi-nOGsWl3s35,My question is if Boston is going to BE how it is now or is it going to change?  I also wonder if Haley House will be here in the future?,Governance and Decision-Making,2/20/15 20:35,02131
u-zdVzwLe7RI-S2gX1wOJbQ,q-YgU9R4ZFLd-ycTtwYFdtq,IS it possible to bring more tourists into Boston by creating more seating areas around Downtown?,Access,2/20/15 20:20,02131
u-LJnovVYYZo-LdZogY89Z3,q-OfD7olluoN-Rb1MmuW60d,"How do we make sure all of Boston's neighborhoods have access to an upgraded, efficient subway system?",Access,2/4/15 10:23,02131
u-wmi74WwDqn-CLQsjLSdsw,q-TGZP762Bg1-ySTZyYiHq9,Will there be any changes to make bike commuters more safe?,Safety,3/9/15 12:04,02131
u-8ytfhvg0oL-IgI8uAYG26,q-6OgliMwAak-h0BPs1K6oY,Will the MBTA buses be on time more?,Reliability,3/9/15 12:56,02131
u-iIMFswW8Li-asmQ1udyKR,q-hlASVMAGKJ-Ba5eHc7B75,Can the #36 bus come more frequently?,Reliability,3/9/15 12:04,02131
u-NV1zMLnU6B-qsHgBNkQAY,q-pc087y7lwl-wlLTRh8nGN,How can we safely bike with children in the city?,Safety,1/13/15 18:29,02131
u-zarqgBKTea-dWsQUvFq7I,q-XYZnSKBHQH-Z9r0FUAOIw,Why are there no maps for the MBTA showing routes especially in the Dudley area?,Innovation-Technology,1/7/15 10:50,02131
u-VhANkegP0u-hSVzRoXi1F,q-hfrUAZ31Bu-KyEiLzUQzE,Can we bring back the trolley and update its service...i.e the MBTA BUS #32 Should be modified into a trolley line due to its under compacitated buses.  Or bring back the big dig to expand train lines.,Reliability,1/24/15 11:52,02131
u-kw8P86RPNH-etiIsJjuIz,q-M4OChpWq03-08YrWymLWd,When will the T be able to expand to easily service the entire Boston region like other major cities,Access,2/9/15 22:52,02131
u-4zqteO4NzN-gQa32fsFSe,q-pQ7gngBcK3-PSlwA6DVtz,How will the MBTA accommodate the growing bilingual community?,Equity,3/9/15 12:04,02131
u-C0u4tTdG78-H4abG65woy,q-8G4dGfMTRl-6yOwOV39eI,Will they let the bus be free for people who need it?,Affordability,3/9/15 12:17,02131
u-JOwYlsZzLn-zQmDx08aUI,q-2yrpuT98nj-kYNJeDQfdg,"Will there be buses running after the last train?  Currently, there are none.",Reliability,3/9/15 12:05,02131
u-DxmXZJ1sGm-nHkwU4gvjc,q-YZWmARt5Dx-BFX9BplOwa,"The MBTA has to be the most disgusting, smelly, unsanitary, and decrepit transportation system in the country. How do you plan to fix this?",Experiential Quality,3/9/15 12:56,02131
u-zdVzwLe7RI-S2gX1wOJbQ,q-QwoR4JqOVZ-d11BErytV0,Better transportation system,Experiential Quality,2/20/15 20:26,02131
u-WPaoH0ymC4-MXdmpGFQKh,q-IxBWkw4M77-GaimvjoyvJ,How will we fund transit improvements without imposing fare hikes that burden youth riders and low-income residents?,Affordability,1/28/15 17:14,02131
u-yJAnniWWn0-GOAKhOOW0F,q-pJk7nwLWsl-VbzWPnZZE7,Will public transportation be cleaner and more comfortable in the future?,Experiential Quality,2/13/15 10:16,02131
u-ehPdFoxcSG-xTzcLjIzpR,q-fzi2Pm5ZNs-VJrX5De48Y,Can we build some dedicated bike and pedestrian bridges over the Charles? ,Access,2/18/15 14:57,02131
u-f7CnOEUURm-HxjhzglsxL,q-nw14qeuTuJ-hjrgko3eq8,"Can we make transportation infrastructure that regularly gets tagged into canvases for street art like on the walls along the orange line, commuter rails, etc?",Experiential Quality,1/22/15 19:04,02131
