user_id,question_id,question,theme,create_date,zipcode
u-8KKdEVQA4n-0vWeEg7Tb7,q-QpWiX2KqLt-Vuqfi4QSJ3,Will there be more services for the disabled?,Access,1/7/15 10:50,2119
u-sJftBHEitW-XtzgSAJBex,q-Qpq6diecP7-zKC3E0QidY,Why are the bus stops so far apart?,Access,1/7/15 10:50,2119
u-56C3IkQYPo-eExZRjqy4s,q-SKCNiDpIhq-EoPOoLdBUd,Are there plans for establishing more municipal parking lots in areas that have a high concentration of residents with parking permits?,Access,1/7/15 10:50,2119
u-Qj6wiVoDwZ-PtzNEAvOgG,q-tqgCP7MGK5-e19RIreDlQ,How will the boating transportation improve and accommodate all for getting around Boston?,Access,1/7/15 10:50,2119
u-RGTvHQUhNX-lVlMWqJ4eo,q-2kmrzJAaln-sdyS23jqDU,Can there be more shuttles to and from hospitals?,Access,1/7/15 10:50,2119
u-9re2M3iAYl-Cfo0vvo7H7,q-FcGlQZEzmA-KJzJgjYSsy,"When will I see the train system expanded back into the outer areas of Boston like Dorchester, Roxbury, Mattapan and Hyde Park? ",Access,1/7/15 10:50,2119
u-vpwUxz8Qk5-a8vxy1nOit,q-CEfO5bkOH4-b4nETqEbbO,In the future will they have faster buses and more transportation?,Access,1/7/15 10:50,2119
u-LoNrq9EnIy-sfn4Nl4jw4,q-jSfqbFGSpD-ZHts3kcgTS,What is public transportation?,Access,1/7/15 10:50,2119
u-1bKjaT5BlH-eaNOzcUDed,q-WvXjwICT3F-iKMKoGGTkQ,Will there be a skateboarding lane? And smoother pavement?,Access,1/7/15 10:50,2119
u-QV8BoGiYbP-k2vxl4pIp4,q-Aw3PJihDro-VAZzHzNud2,Will the city consider moveable sidewalkers at T- stations?,Access,1/7/15 10:50,2119
u-06gIih6lF0-3lR20pMKqf,q-mK5RpCqtcj-l68dAiN0LP,What do we do when we work a later shift and the bus stops running at 1:00am?,Access,1/7/15 10:50,2119
u-wArD377T2w-Y0M5uW7afm,q-i7JlsYbubX-DyLQoVOiHC,Will there be more bike lanes?,Access,1/7/15 10:50,2119
u-FAIFwxqg6j-8HHNFf67XS,q-i1VtWfs1RC-eYwxwyyybt,How will you guarantee that transit dependent people have reliable and timely T service to jobs and opportunities? ,Access,1/29/15 13:47,2119
u-FAIFwxqg6j-8HHNFf67XS,q-J0I0Py7fAC-2hktGO8VjN,"Will transit dependent riders -- youth, elders, low-income families, etc -- ever be seen to have as much value as ""choice riders""?",Access,1/29/15 13:54,2119
u-FAIFwxqg6j-8HHNFf67XS,q-oucM0creUS-LFI8WfHuY7,"Will the opening of the Fairmount / Indigo Line in Dorchester end up displacing the Black, Latino and Asian families who live in Upham's, Four Corners, and Codman Square? ",Access,1/29/15 13:55,2119
u-yR2g6VRUv8-KTcQ1BY84r,q-eyH7EIJaFf-MIGnVAlskF,Will the MBTA increase parking along Orange Line stops?,Access,1/30/15 12:06,2119
u-gm8spaJB1A-QPOreM2tSN,q-5RBSVAouiw-kJ2O4RbTXm,Can we extend the Orange Line down Blue Hill Ave?,Access,1/30/15 12:06,2119
u-knGUTzEKpR-2mEySvxr2A,q-ro6RdDWFPU-2dfleCngi8,When will we have high-speed rail similar to the France's TGV?,Access,2/4/15 14:03,2119
u-74vr8MMELA-Wl2FMQItuz,q-tsiU765GdS-LYfOoiiIOl,Will we be able to bike safely with our kids to everywhere we need to go?,Access,2/4/15 19:23,2119
u-IAXPCLz3a5-pil8E5dMAe,q-Ci8zaW3M9t-z8fnab5QTP,"When is the Amory Street Elders/Disabled (BHA) building getting back the #48 in Jamaica Plain? Please note that many of the elderly and disabled residents of this building cannot walk to the nearest T station, and that bus allowed us access.",Access,2/5/15 16:14,2119
u-wNdeEc15wf-KpclrYsAQn,q-pHdmRkyQ8D-ALYLIEkj3C,A system that teleports commuters from one stop to another? #norushhour,Access,2/5/15 16:14,2119
u-0H4NU8OVbM-ETXMp3owbW,q-MPEheGxPu5-UuezCuzpZu,What is the plan to enhance and make safer the Hubways and the roads/bike paths that accommodate them?,Access,2/5/15 16:16,2119
u-KXd9lec9yi-BoiDJuZ2Sy,q-m9udkgmrEu-xGKl6WV1AC,Will there ever be other methods of transportation for people who cannot take the train or bus?,Access,2/6/15 11:51,2119
u-8IVZkffWk8-X1A6mOMHwL,q-iJA09k7wcE-PJde9xvs15,"Boston has what is, at best, a skeletal subway system, where too many riders are being funneled into too few lines.  Besides the badly needed Green Line extension to Somerville & Medford, who in authority is making any plans to expand the system--including both extensions to under-served neighborhoods and adding capacity in the Downtown core?",Access,2/6/15 13:38,2119
u-eCdALeahWp-e8b2CwYBKx,q-XE8yuYLp83-eTEQ2PlTOr,When will Dudley Station have a light rail system?,Access,2/20/15 12:17,2119
u-kk5fzZPV2Y-NZ38nbHaaz,q-dswrENJytf-epJRkfB9BO,What is the plan to get talking street crossing all across the city?,Access,2/20/15 14:25,2119
u-WgmSp0YvE9-fOWjQxUBN6,q-CFFLGtwLXJ-NtQjSkqM1c,Why are there limitations on certain bus routes? ,Access,2/20/15 20:27,2119
u-aIeTR2p44F-9PgaTkd7bW,q-VSvFKew5Gc-p5gavUBlvG,When are we gonna get dedicated lane buses?,Access,3/9/15 12:05,2119
u-zKc9DHwH7Q-987kKqnuMj,q-EsYzVzvg5K-gweG0biYUR,Is there going to be better transportation for people with disabilities?,Access,3/9/15 12:06,2119
u-huorAIsBzy-bkfeTxlwlj,q-S86DAt9pbL-Wqv7AZzHj0,How can they move snow better to improve movement around the city?,Access,3/9/15 12:06,2119
u-ls3uuer58b-aWvAo1i1in,q-SxKPJ7imKR-mZW0AOaMcH,Can more #45 bus service be added on Blue Hill Ave?  Maybe the #23 or the #14 should be re-routed to go up Blue Hill and through Grove Hall and continue onto its regular route.  ,Access,3/9/15 12:55,2119
u-1w20cX4GPf-rBmxeUMVFZ,q-z8AyWzlbUI-56y0KBHKVJ,Will there be more access to the T in other areas?,Access,3/9/15 12:55,2119
u-xaqFXWMzJF-4HD1Nr7BGN,q-Fc4BwyHjl3-PUhkC7JYSw,Will ferry service be expanded to other destinations on the North Shore and South Shore?,Access,3/9/15 12:55,2119
u-MK9x3nQVDl-pV6qKYri7b,q-768xS2bsqm-fQZTLRRzDF,Will Silver Line be extended to Forest Hills?,Access,3/9/15 12:55,2119
u-a292zLaWG0-eYaBjSXGHg,q-pC1PpEnJUy-68oUNeDU6t,How can we get more cabs to service the inner city neighborhoods?,Access,3/9/15 12:55,2119
u-jX0t3wluIt-zcOAHQExob,q-Zwj8PwnoaM-PE7NA8a6lL,"Are there any plans in the future to change the train routes again?  In the past, the train used to run through Washington Street from Forest Hills all the way to downtown.  This then stopped.  Any plans to reinstate?",Access,3/9/15 12:55,2119
u-y46uyQj9K3-DjWdQYx7xP,q-1TZBgAlXWv-34P4OtFBTQ,What types of measures are being taken to alleviate the limited amount of parking throughout the City?,Access,3/9/15 12:55,2119
u-ghPl7sKtnA-ol4j4Vh7KL,q-1wwCztfvqr-ToQpPG8uvQ,Will there be bike lanes?,Access,3/9/15 12:56,2119
u-GFmvpxMLIg-eDobFAh5JN,q-IO0IfOyJkF-wF7JkFlFDW,"Are we going to get more buses on the silver line ""4"" and ""5"" especially because so many people will start coming to work at Dudley Station?",Access,3/9/15 12:56,2119
u-N0efvDXYX2-nKc6CnKcsF,q-mE4cQtyTIt-dQzfaZnwgU,Tunnels underground for peddle bikes.  ,Access,3/9/15 12:56,2119
u-VoPkSl2Nbq-1Xu1dd1O1F,q-kGJ5LpXpV4-g4sQNTqXJo,Are we going to have the T-buses and bus cards?,Access,3/9/15 12:56,2119
u-IuGmIz7ZnP-VkH13EQza6,q-DgX31fWucn-mpbkZHK9V5,Will there be enough transportation?,Access,3/9/15 12:56,2119
u-Hk7ON9IYtp-OjjQpfjwP7,q-LXjWwjtofF-HBWIk1P3Pq,"When will we see clean, sleek, fast-moving MBTA trains and buses with service in low-income neighborhoods that is stellar, reliable and respectful?",Access,4/17/15 17:30,2119
u-g9PM6zZuTQ-mcfKjx1MWE,q-QWWzdl3Q43-dFJcRqy52d,Will there be a connected network of on-street bicycle facilities?,Access,4/17/15 18:44,2119
u-9bmKpil7Yy-ujCcvhKs8j,q-a7XgaNabAp-5z2MlnHIOp,Will bus fare be more affordable for working people?,Affordability,1/7/15 10:50,2119
u-hMZUc6xRYu-oQ6IFaQLVf,q-3MqB2i3sdk-oYIC2oYvi0,Where's the compassion for riders without the fare charge?,Affordability,1/7/15 10:50,2119
u-PAFrHgmyhI-BO25HNIQnD,q-RahVQiHrO3-2LiJb1gxJB,Is there any way that the green line could beccome a free form of transportation?,Affordability,1/7/15 10:50,2119
u-Xbib5HkVJW-8d5hgKqGQy,q-wqi3EJZStd-l1hqexsMic,How many legs will I have to sell to catch a bus? ,Affordability,1/7/15 10:50,2119
