shapeid,x,y
0,-71.12592657,42.27200445
0,-71.12574734,42.27233854
0,-71.12566364,42.27247432
0,-71.12555023,42.27257017
0,-71.12572828,42.27248268
0,-71.12637716,42.27215914
0,-71.1265146,42.27209088
0,-71.12659548,42.2721728
0,-71.12665777,42.27223592
0,-71.12690977,42.2720908
0,-71.12725673,42.27199476
0,-71.12739755,42.27195463
0,-71.12760297,42.27190191
0,-71.12786708,42.27195296
0,-71.12794576,42.27196149
0,-71.12826507,42.27123921
0,-71.12841132,42.27091532
0,-71.12845616,42.27087339
0,-71.12883927,42.27067296
0,-71.1294844,42.27033793
0,-71.12998068,42.27008145
0,-71.13015944,42.27000401
0,-71.130365,42.2703827
0,-71.13042834,42.27036728
0,-71.13074221,42.27027711
0,-71.13086613,42.27052084
0,-71.13099614,42.27077685
0,-71.13152977,42.27064005
0,-71.13161022,42.27062083
0,-71.13173128,42.27087979
0,-71.13190769,42.27117692
0,-71.13187591,42.2713129
0,-71.13175657,42.27201597
0,-71.13167301,42.27225282
0,-71.13156997,42.27238498
0,-71.13149929,42.27245356
0,-71.13115451,42.27269806
0,-71.13095812,42.27283249
0,-71.13101557,42.27287473
0,-71.13115098,42.27295988
0,-71.13128219,42.27304099
0,-71.13133144,42.27307242
0,-71.13134933,42.27308383
0,-71.13136746,42.27309509
0,-71.13150726,42.27318183
0,-71.13164427,42.27326791
0,-71.13180282,42.27336745
0,-71.13198153,42.27347841
0,-71.13213978,42.27357776
0,-71.13232167,42.27369143
0,-71.1323365,42.27370071
0,-71.13252562,42.27381809
0,-71.1327324,42.27394639
0,-71.13292844,42.27406803
0,-71.13307028,42.27415604
0,-71.13321212,42.27424404
0,-71.13335394,42.27433204
0,-71.13351207,42.27443015
0,-71.13351463,42.27442794
0,-71.13351468,42.2744279
0,-71.13351692,42.27442596
0,-71.13358916,42.27436336
0,-71.13370299,42.27426473
0,-71.13394845,42.27405205
0,-71.13474411,42.27336265
0,-71.13497012,42.2732153
0,-71.1351611,42.27309079
0,-71.13526814,42.27300565
0,-71.13538923,42.27290932
0,-71.13557881,42.27273876
0,-71.13700834,42.27151154
0,-71.13719368,42.27136017
